Word,Brief Definition,Long Definition,Synonyms,Antonyms,Video Url,Video Title,Context Paragraph
Antediluvian,Something that belongs to an earlier period of history.,A flood “thoroughly washes” the land.  The idea here is that something antediluvian is so old that it happened before the Biblical Flood.,"antiquated, archaic, decrepitude, dilapidated, erstwhile, hackneyed, matriarch, patriarch, primordial, superannuated, troglodyte, venerable","dapper, debonair, decorous, fastidious, meticulous, punctilious, urbane",https://cdn0.membean.com/video/examplevids/antediluvian.mp4,," Maximilian felt that he should have been born in another century because he felt so attracted to very old-fashioned, antediluvian beliefs.  He maintained an antediluvian practice of wearing a stiffly starched collar, pocket watch, and a nineteenth-century pinstripe Victorian suit.  Marjory thought that Max’s outdated habits were charming in an Old World sort of way, but she disagreed with his antediluvian beliefs about women’s place in society, which were anything but up-to-date.  Over time, Max changed some of his antediluvian views to more modern ones so that the feminist Marjory would marry him."
Antipathy,A compelling feeling that something is not at all pleasant.,Antipathy is a “feeling against or opposed to” something or someone.,"abhor, abominate, anathema, animus, antagonist, bigotry, contentious, discordant, dissident, dissonance, fractious, inimical, malevolent, malice, odious, rancor, rebuff, refractory, repudiate, repugnance","acquiesce, benign, clemency, commiserate, conciliation, congenial, cosset, penchant, predilection, proclivity, propensity",https://cdn0.membean.com/video/examplevids/antipathy.mp4,Looney TunesDaffy Duck expresses antipathy towards sweet Bugs.," My feelings about seafood range from mild dislike to disgusted antipathy .  I don’t like the smell or texture of fish, and when it comes to shellfish, I feel nothing but distaste and antipathy .  Eating slimy creatures that live in crusty shells? No thanks! Nothing arouses antipathy or opposition in me more quickly than the suggestion that we go out for sushi, although most of my friends absolutely love raw fish."
Antipodal,Two directly opposed physical points or mental perceptions.,"Imagine one’s “foot” placed “against or opposite” the sole of someone else’s “foot” “opposite” you on Earth, and you’ll understand the idea behind antipodal.","antagonist, antipathy, antithesis, contentious, discomfit, discordant, fractious, inimical, obverse, rebuff, refractory, repudiate, untoward","accede, acquiesce, assimilate, concordant, equanimity, restitution",https://cdn0.membean.com/video/examplevids/antipodal.mp4,," The two leaders held antipodal or opposite opinions on just about every subject.  Even their birthplaces were on antipodal or directly opposed points on the globe, so their opinions were reflected in their geographical origins.  Their antipodal or contrary positions on most issues, however, did not lead them to dislike one another.  Each had a lot of respect for the other’s antipodal or conflicting leanings."
Antiquated,It is considered too old and useless.,"If something is antiquated, it has been “made old.”","antediluvian, archaic, decrepitude, erstwhile, hackneyed, obsolescent, primordial, superannuated","neophyte, paradigm, topical, tyro",https://cdn0.membean.com/video/examplevids/antiquated.mp4,"AFP News AgencyThis music store hopes some day to bring back the cassette, an antiquated format for music."," When Robert visited his uncle in the mountains of Nepal, the antiquated or obsolete plumbing system challenged him.  Having spent most of his life in modern urban settings, Robert felt insecure among antiquated hand tools and outdated facilities.  His adventurous and elderly uncle—who was rather antiquated himself—merely grinned at Robert’s views of travel in Nepal and kept hiking, wooden staff in hand, toward the horizon."
Antithesis,Hot and cold.,The antithesis of one thing in relation to another is the “putting” or “arranging” of it “opposite or against” the other.,"antagonist, antipathy, antipodal, contentious, dichotomy, discordant, disparate, divisive, incongruous, irreconcilable, obverse, schism","amalgamate, assimilate, coalesce, ecumenical, homogeneous, restitution",https://cdn0.membean.com/video/examplevids/antithesis.mp4,Best Friends for NeverIt's rudely explained to Georgia that magic is the antithesis of science.," Barry was the opposite or antithesis of a good waiter. He moved slowly and heavily through the restaurant, which was the antithesis of the efficiency of  good waitstaff. Likewise, Barry knew very little about the menu, so his lack of knowledge was antithetical to the needs of the restaurant that relied upon customers’ knowing the food options. When Barry finally realized that his skills were antithetical to his job’s requirements, he made a change and became a parking attendant."
Apathy,A complete lack of interest in trying to make something better.,"The “condition, quality, or state” of being “without feeling” about something is apathy.","despondent, disinterested, enervate, ennui, entropy, impassive, inert, insouciance, lackadaisical, languid, lassitude, lethargic, listless, moribund, nonchalant, phlegmatic","advocate, aficionado, ebullient, effervescent, enthrall, exponent, penchant, vibrant, vivacious",https://cdn0.membean.com/video/examplevids/apathy.mp4,Kevin MeaneyThis comedian is filled with so much apathy that he sings a song about it.," Adrienne was filled with apathy about her academic performance so she didn’t care about how she did.  Her apathetic and unconcerned attitude annoyed her professor, who gave her one last chance to redo her final project.  When Adrienne saw her initial low grade and realized that her apathy could prevent her from graduating, she quickly changed her mental approach and habits towards the positive.  Rather than sleeping through lectures in apathetic boredom, Adrienne soon became one of the most involved students in class."
Apex,The highest point of something.,The apex of something is its “top” or “summit” that forms a “point” from which one can ascend no further.,"acme, apogee, apotheosis, consummate, crescendo, denouement, edification, forte, pinnacle, quintessential, surmount, zenith","decadent, effete, enervate, feckless, jejune, nadir, obsolescent, pallid, tyro",https://cdn0.membean.com/video/examplevids/apex.mp4,," The apex or top of the pyramid stretched upwards towards the sun.  The archaeologists, eyes upraised to the pyramid’s topmost point, gazed in awe at the vast, pointed apex that they had only dreamed of until this moment.  Scholars believed that the apex of this, the largest of the three pyramids, was one of the most wondrous achievements of ancient architecture, seemingly almost touching the sky.  The monument itself was an apex or high point of technologically advanced skills."
Aphorism,A witty saying that passes on wisdom.,One “thoroughly” sets the “boundary” of what is wise and what is not when one quotes an aphorism.,"abridge, adage, axiom, dictum, epigram, incisive, perspicacity, pithy, precept, profundity, sagacious, terse","bombastic, circumlocution, grandiloquent, hackneyed, inordinate, obtuse, platitude, turgid, vacuous",https://cdn0.membean.com/video/examplevids/aphorism.mp4,Wise SayingsA collection of aphorisms.," “People who live in glass houses shouldn’t throw stones,” my grandmother snapped at me in her usual way of quoting aphorisms .  She seemed to have an aphorism or wise saying like this one for every situation, particularly in reference to how I should lead my life.  I complained to my mother that grandma speaks in aphorisms instead of just giving her honest opinion.  My mother told me that in grandma’s generation, aphorisms were short, clever ways of telling it like it was without appearing rude or invasive."
Aplomb,To face a hard situation without panicking.,"Due to the weight of “lead,” a plumb line, or piece of string with a lead weight on the end, falls straight to the bottom of a lake or river.  The plumb line holds a straight course downward without being moved out of the way, thus symbolically exhibiting cool and confident aplomb against buffeting waves that try to divert it from its plummeting.","audacious, equanimity, gumption, impassive, imperturbable, intrepid, nonchalant, pluck","craven, daunt, demure, diffident, skittish, tentative, timorous, tremulous",https://cdn0.membean.com/video/examplevids/aplomb.mp4,," After hitting a piercingly out-of-tune note during his vocal solo, Anthony responded with aplomb and kept singing without skipping a beat.  Anthony’s grace, assurance, and aplomb earned the respect of the audience, who rewarded his steady professionalism with loud applause.  Anthony would always remember this early concert as a moment of self-confidence and aplomb under a great deal of stress during which he could easily have broken down."
Apocryphal,A well-known story that is probably full of error.,The truth of an apocryphal tale or belief is “hidden away.”,"ambiguous, conjecture, delusive, ersatz, factitious, fallacy, garbled, mendacious, poseur, prevaricate, spurious, tentative","canonize, disabuse, probity, propriety, veracity, verisimilitude, verity",https://cdn0.membean.com/video/examplevids/apocryphal.mp4,," When the Stuart family moved into their rich uncle’s crumbling mansion, local apocryphal rumors questionably claimed that it was haunted.  While exploring the attic, Sam Stuart, the youngest son, remembered the fictitious and apocryphal stories told about the ghost when he thought he saw a shadow in a dark corner.  Hair raised on end, Sam shared his story at dinner, yet another incident added to the collection of doubtful, apocryphal tales about the house spirit."
Apogee,"The highest point of something, particularly within a culture or career.",The apogee of the moon’s orbit is its furthest point “away from Earth’s” core.,"acme, apex, apotheosis, consummate, crescendo, denouement, edification, forte, pinnacle, quintessential, surmount, zenith","decadent, effete, enervate, feckless, jejune, nadir, obsolescent, pallid, tyro",https://cdn0.membean.com/video/examplevids/apogee.mp4,," The apogee of Madeleine’s thirty-year career in journalism was winning a Pulitzer Prize for writing about the conflict in The Sudan.  With pride Madeleine invited her entire family to the ceremony to celebrate this apogee or topmost point of persistence, craft, and insight.  Madeleine’s career’s apogee , or prestigious status as a Pulitzer Prize winner, marked her as highly honored within the global community of fine writers."
Apostate,"One who withdraws an allegiance to or belief in a religion, political party, etc.",An apostate “stands away from” a former belief.,"derelict, dissension, dissident, heretic, perfidious, recidivism, schism","acquiesce, adherent, approbation, countenance, deference, deify, idolatry, imprimatur, venerable",https://cdn0.membean.com/video/examplevids/apostate.mp4,," When Ralph stopped attending church as a teen, his pastor labeled him an apostate for abandoning his religion.  Ralph spent many years without following any one religion, and no one in his family could change the mind of the young, deserting apostate .  Ralph justified his apostasy or parting by claiming that he need not belong to any organization or religion to continue serving God."
Apotheosis,When something or someone has a moment of near perfection.,An apotheosis is the symbolic “changing” of a human into the “state or condition” of a “god” because her or his accomplishments are so rare and incredible.,"acme, apex, apogee, canonize, consummate, cynosure, deference, deify, emulate, encomium, epitome, idolatry, nonpareil, paean, panegyric, paragon, quintessential, venerable","denigrate, denounce, dissension, nadir, proscribe, tirade",https://cdn0.membean.com/video/examplevids/apotheosis.mp4,," The Italian Renaissance is considered the apotheosis of Western culture because in no other period did art, literature, and science progress and flower at such a rapid pace.  The inventions of Leonardo Da Vinci apotheosized and elevated him from an artist to a scientific genius who has come to symbolize the Renaissance period itself.  Very few humans undergo the transformation of apotheosis : it takes great accomplishments to be considered almost a god among men."
Appellation,A designation of a person or place.,An appellation is the “act of pushing a” name or title “towards” someone.,"delineate, fungible, sobriquet",,https://cdn0.membean.com/video/examplevids/appellation.mp4,YoutTube: Periodic VideosThis professor has received a new appellation.," Rita Hayward, a famous playwright, once created a character with the name Jules Reginald Swinon to whom she gave the telling appellation of “Queen Jules.”  This descriptive appellation was a particularly appropriate nickname for Jules, a powerful and commanding woman on Wall Street.  Queen Jules  became popular beyond theatrical circles, and before long people took to giving women on Wall Street the “Queen Jules” appellation if they were powerful and successful."
Apportion,You decide how much will be given to each of a number of people.,"When one apportions funds to a project, one puts a “part, share, or division towards” different expenses for that project.","appropriate, arrogate, diffuse, disseminate, echelon, expropriate, hierarchy, largess, magnanimity","abridge, curtail, denude, divest, excise",https://cdn0.membean.com/video/examplevids/apportion.mp4,Boy Meets WorldShe apportions the candy to somewhat benefit herself!," It used to be that money for sports was not apportioned or divided equally between girls’ and boys’ teams.  Thanks in part to lawsuits forwarded by female athletes, school budgets are apportioned or distributed somewhat more fairly amongst sports teams today.  Some schools still apportion or dispense more funds to boys, claiming that their teams bring in more income. Apportioning or doling out the money equally seems like a basic idea, but there are still battles over what is fair going on today."
Apposite,A statement that relates well to a given scenario.,An apposite comment is one that is suitably “placed towards” or “put at or near” a given situation.,"apropos, cogent, commodious, condign, deft, felicity, germane, palatable, perspicacity, pertinent, pragmatic, sagacious, utilitarian","abject, encumber, ephemeral, evanescent, specious, temporal",https://cdn0.membean.com/video/examplevids/apposite.mp4,Gary LinekerHow apposite it was that Chelsea's greatest striker put his side ahead on such an important date.," “Absent-minded professor” is an apposite description of my father, who can rarely find his glasses and has been known to put the newspaper in the refrigerator.  Despite his forgetfulness in daily matters, he is a brilliant scholar and can find an apposite quotation from the classics that would fit just about any situation.  I was surprised to hear him describe popular musical genres with a few suitable, apposite phrases just the other day."
Apprise,To notify her of it.,"When one is apprised of a situation, one can “seize hold of” the information that is useful “to or towards” it.","broach, divulge, elucidate, evince, explicate, garrulous, gloss, interlocutor, loquacious","dissemble, ensconce, latent, obfuscate, opaque",https://cdn0.membean.com/video/examplevids/apprise.mp4,"Hill Street BluesThe sergeant was apprised earlier of an inventory mismatch, and now is questioned about it."," When my sister was giving birth to her first child, she called to apprise me of the fact that the labor had begun.  After I had been apprised of the important details about her well-being, I then contacted other family members to apprise them of the good news.  Once my sister’s son was born, she kept us all apprised daily on Facebook of his steady growth and changing moods."
Approbation,Loud applause given after the performance of a play.,"One receives approbation when one “proves” oneself “towards” a given situation; they pass the “test” and so are “approved” by another.  Note that the letters “b” and “v” are interchangeable in English, so the words “prove” and “probe” are very related to one another.","adulation, auspicious, countenance, deference, encomium, eulogy, extol, idolatry, imprimatur, inestimable, laudatory, lionize, paean, panegyric, plaudit, venerable","acrimonious, captious, carp, cavil, censure, defile, denigrate, denounce, desecrate, disparage, dissension, proscribe, tirade",https://cdn0.membean.com/video/examplevids/approbation.mp4,CSPAN: Mister Rogers Receives Presidential Medal of FreedomPublic approbation for the man who played Mister Rogers.," Ted’s mother granted him her permission and hearty approbation for his cross-country trip with friends after his graduation from college.  Ted didn’t feel that he required his mom’s approbation in order to go, but he was happy that she felt it was such a worthy undertaking.  She gave her approbation knowing that Ted deserved a reward for all of his attentive studying, but also because she approved of travel in general.  Most importantly of all, his mother’s approbation supported Ted’s belief that the trip was another learning experience for him."
Appropriate,To take it from someone and pretend that it is yours.,"To appropriate something is to place it “to or towards one’s own, personal, or special” use, often without permission to do so.","apportion, arrogate, assimilate, conscript, expropriate, forage, pillage, plagiarism, purloin, sequester, subjugate, usurp","largess, magnanimity, munificent, obviate, unassuming",https://cdn0.membean.com/video/examplevids/appropriate.mp4,ThorJane's research articles are being appropriated by the government.," Before her own design could be copyrighted, Mabel found that another company had appropriated or stolen her logo as its own.  Mabel realized that her former co-worker Jared had seen the design and had passed it along without her permission to his new employer, appropriating it for himself.  Such appropriation of material was perhaps less harmful to her professional pride than the hurt that Jared’s betrayal had caused.  She would never have appropriated someone else’s design; not only was it wrong, but she would also rather rely on her own creative talents."
Appurtenance,Something supporting a specific activity.,An appurtenance is that accessory or extra item that has the “state or condition” of being “thoroughly held towards” another more important thing.,"accoutrement, addendum, adjunct, adventitious, amenity, ancillary, augment, coda, concomitant, conflate, contingent","abate, abridge, attrition, diminution, obviate",https://cdn0.membean.com/video/examplevids/appurtenance.mp4,, The accessories or appurtenances of wealth inspire envy in some of us who are less well-to-do.  Everyone seems to want an expensive Fendi purse or a Maserati sports car; such glamorous appurtenances are useful to broadcast one’s ability to spend money.  Some believe that the appurtenances of a celebrity lifestyle seem designed merely to allow their owners a chance to gloat about their riches . . . and perhaps to make others envious.
Apropos,It is perfectly suited to the moment.,Apropos comments are “proper or fitting to or towards” a given situation.,"apposite, commodious, condign, felicity, germane, pertinent, pragmatic","abject, encumber, ephemeral, evanescent, obtuse, temporal, vaporous",https://cdn0.membean.com/video/examplevids/apropos.mp4,AlfAlf searches for an apropos quote to comfort Hannah.," At his brother’s wedding, Frank delivered a witty and apropos best man’s speech that perfectly suited the situation.  His apropos and relevant remarks related childhood adventures, his best wishes for the couple’s future, and a few inside jokes.  His welcome humor and kind words were so fitting and apropos to the joyous occasion that their mother shed tears of tender appreciation.  “How apropos ,” Frank’s father said to him later, “that the best man should also be the best speaker in the family.”"
Aquiline,One that is hooked or resembles the shape of a hawk’s beak.,"An aquiline feature is of or relating to an “eagle”; a prominent aspect of an “eagle,” of course, is its curved beak.","obtrude, protuberance, salient","inconspicuous, unobtrusive",https://cdn0.membean.com/video/examplevids/aquiline.mp4,," The detective’s strong, aquiline profile, suggesting the appearance of a bird of prey, proved to be an effective tool of intimidation when questioning suspects.  The shape of his sharp, curving aquiline nose often made the suspects feel as if they were mere prey to his superior powers of reasoning.  As the keenly perceptive detective leaned over the wooden table in the conference room, his face formed an aquiline shadow that loomed over the surface, like an eagle’s beak ready to snatch an unsuspecting mouse."
Arbitrary,It appears to be made in a random way.,An arbitrary decision is one that has been seemingly randomly “thought about” or “judged.”,"autocratic, autonomous, capricious, despot, gratuitous, imperious, impetuous, indiscreet, inequitable, notional, petulant, potentate, precipitate, totalitarianism, volition, wanton, whimsical","dogmatic, empirical, irreproachable, objective, rubric, scrupulous, statutory",https://cdn0.membean.com/video/examplevids/arbitrary.mp4,ConanTalk about being arbitrary!," According to Serena’s viewpoint, the casting for the play seemed quite random or arbitrary .  Serena watched as brilliant performers were arbitrarily given minor roles for no real reason, while less talented actors received the leads.  According to her friends in the cast, even the director’s expectations during rehearsal seemed unclear and arbitrary —they simply could not figure out what was required of them."
Arboreal,That which relates to or has to do with trees.,The word arboreal at root means “of or pertaining to a tree.”,"bifurcate, forage, luxuriant",defoliate,https://cdn0.membean.com/video/examplevids/arboreal.mp4,YouTube: National GeographicSpider Monkeys are arboreal.," Some scientists who study life in ancient arboreal habitats believe that dinosaurs living in trees actually had feathers rather than reptilian scales.  These arboreal dwellers, thought to be the ancestors of birds, may have relied upon gliding as their primary means of transportation from tree to tree in search of food and shelter.  While there remains incomplete research and much debate about the exact nature of any ancient, arboreal environment, the prehistoric forests remain an intriguing new chapter of study."
Arcane,Something that has a hidden meaning.,"Arcane knowledge is safely kept, locked in a “chest,” as it were, to which only a few people hold the key to open the lock.","abstruse, enigmatic, esoteric, hermetic, inscrutable, latent, numinous, opaque, profundity, recondite, transcendent","diaphanous, elucidate, exegesis, extricate, gossamer, omnibus, overt, patent, pervasive",https://cdn0.membean.com/video/examplevids/arcane.mp4,The SecretWhat is the arcane knowledge?," At the fair that summer, Joel noticed a curious sign covered in mysterious and arcane symbols outside of the fortuneteller’s tent.  Joel went inside and listened as the cackling fortuneteller explained the hidden, arcane meanings of the cards that she flipped over one by one.  Joel walked away from the tent feeling as if something significant had occurred and hoped that the fortuneteller had correctly deciphered the secret messages of the strange arcane symbols on the cards."
Arch,One that is full of slyness or mischief.,"This word has changed in meaning over time, developing into the adjective arch meaning “crafty, sly, cunning, saucy, or mischievous,” emphasizing some of the less desirable qualities that those in “rule” can possess. Arch people can try to “rule” or control a situation by their cleverness.","beguile, clandestine, connive, covert, diabolical, disingenuous, flippant, furtive, inconspicuous, insidious, latent, Machiavellian, machination, politic, surreptitious, unobtrusive","candor, ingenuous, palpable, patent, unassuming",https://cdn0.membean.com/video/examplevids/arch.mp4,," From across the blackjack table, the rascal Vivian raised her eyebrow in a sly, arch glance at the card dealer.  Knowing her to be full of subtlety and tricks, the dealer recognized the sneaky Vivian’s arch signal for another card and placed one before her.  At the casino, Vivian became widely known as a mischievous, arch card player.  The owner soon became suspicious of the fortune Vivian had won using her gambling talent and arch , somewhat roguish manner."
Archaic,When it is no longer considered relevant to the present day.,Anything archaic has the “nature of” being “ancient.”,"anachronism, antediluvian, antiquated, decrepitude, erstwhile, hackneyed, jaundiced, obsolescent, primordial, superannuated","inchoate, incipient, paradigm, precocious, vernal",https://cdn0.membean.com/video/examplevids/archaic.mp4,Are You Being ServedCaptain Peacock believed that the archaic hat rules had gone away.," My once very useful but now archaic typewriter has become a thing of the past.  Although I once typed all of my college English papers on this out-of-date, archaic oddity, it is now considered extremely inefficient because one can only correct one letter at a time.  Perhaps one day humans will be able to speak to computers, making the current keyboard archaic and old-fashioned."
Archetype,A typical bully who intimidates their classmates.,"An archetype is a beginning “form”; it can be a prototype, or example from which others are derived, or an ideal type or “form” that is viewed as the “chief or principal” example or “impression” of its class.","axiom, consummate, crux, engender, epitome, intrinsic, paradigm, paragon, pivotal, quintessential, symbiotic","adventitious, discordant, disparate, dissident, superfluous",https://cdn0.membean.com/video/examplevids/archetype.mp4,YouTube: Nicole RiveraModern film and TV archetypes.," Human beings are brought together by the archetypes or essential aspects that they all share, such as being born, falling in love, maturing, grieving those who have passed on, and death itself.  Besides the archetypes of basic, human universal elements that we all experience, archetypes of kinds of people are also commonly shared among humans, such as the hero, the villain, the ambitious businessman, the teenage rebel, the fish out of water, and the damsel in distress.  An example of an architectural archetype , or basic model from which copies are made, is the western ranch, the style of which has been copied many times to form the ranch-style house."
Archipelago,Someone who likes to explore different islands.,"The “principal sea” of the Greeks was the Aegean, in which many islands are scattered about, thus giving rise to the word archipelago.","circumscribe, cloister, enclave, endemic, ensconce, microcosm, parochial, quarantine, sporadic","ecumenical, macrocosm",https://cdn0.membean.com/video/examplevids/archipelago.mp4,YouTube: Hawaiian islandsThe Hawaiian islands are an archipelago.," The Galapagos archipelago is one of the most famous groups of islands in the world.  Charles Darwin traveled among the islands of this now renowned archipelago , which is where he first developed his theory of evolution.  The Galapagos archipelago , a group of thirteen large islands and over one hundred small ones, is home to an amazing variety of wildlife.  The rich biodiversity within the archipelago enabled Darwin to visualize and clarify his theory by examining life forms on its many islands."
Ardor,One feels passionate and enthusiastic.,"When one is filled with ardor, one is in a “state of burning or being on fire” for a particular passion one has.","assiduous, desiderata, ebullient, enthrall, exuberance, febrile, fervid, frenetic, idolatry, importunate, indefatigable, punctilious, sedulous, unflagging, unremitting, zealous","demur, demure, docile, ennui, irresolute, lethargic, listless, obviate, recalcitrant, torpor",https://cdn0.membean.com/video/examplevids/ardor.mp4,CBS News: A Taste of Beatlemania in the 1960sThese fans are showing their ardor for the Beatles.," Brynna’s ardor and enthusiasm for live, classical music was well known; every day her excitement and commitment for this art form remained undiminished.  Not only did Brynna play the violin with great passion and skill, but her ardor for and intensity in conducting the symphony also inspired her fellow musicians to perform at their very best.  Her energy seemed boundless as she pursued her composing career with ardor along with her other musical endeavors.  Brynna’s devotion to her art resembled the feelings one might reserve for ardent , passionate love."
Arduous,It requires a great deal of effort.,"When a task is symbolically “steep” or “difficult to reach,” its “nature” is one of extreme difficulty.","daunt, exacting, formidable, laborious, onerous, prodigious, redoubtable","exonerate, expedite, facile, inconspicuous, indolent, lackadaisical, languid, listless, torpor, unassuming, unobtrusive",https://cdn0.membean.com/video/examplevids/arduous.mp4,YouYube: Reel Rock: La Dura Complete: The Hardest Climb in The WorldNow that is an arduous climb!," It was clear from the bulging of his shoulder muscles that Sisyphus found the difficult task of pushing the enormous boulder uphill to be highly arduous .  With concentrated, fierce, and arduous effort Sisyphus persisted in putting his force behind the giant stone.  The man’s straining movements moved two observers to pity him, and after a while they joined in the arduous effort.  Together, and much less arduously than before, the group of three men at long last succeeded in pushing the boulder to the top of the hill."
Argot,A special language used in a specific situation.,"From the root argot which means “slang.”
origin:  French


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","abstruse, cabal, cadre, clandestine, clique, complicity, conclave, connive, coterie, covert, dialectic, furtive, garbled, idiosyncratic, latent, machination, parlance, patois, surreptitious, vernacular","candor, divulge, exude, palpable, patent, tangible",https://cdn0.membean.com/video/examplevids/argot.mp4,Livestock AuctioneersTwo examples of the argot of the auctioneer.," Billy-Bob received a three-month sentence to jail, or “a three-year bit” in prison argot .  Billy-Bob soon found that learning the argot or specialized language of the prison population was important for survival.  Within a few weeks he found himself speaking the new phrases and words of the argot used among the prison inmates, and much enjoyed this new way of speaking."
Arraign,To call a person to court to account for possible crimes.,To arraign someone is to call him “to judgment.”,"anathema, decry, denounce, excoriate, impugn, impute, insinuation, reprobate","absolve, approbation, countenance, deference, exculpate, exonerate, idolatry, imprimatur, irreproachable, venerable, vindicate",https://cdn0.membean.com/video/examplevids/arraign.mp4,," The court official sought to arraign Peter for a crime of robbery.  After being informed of the date and location of the arraignment or formal accusation, Peter appeared on time with his lawyer to the proceedings.  While he was arraigned for the crime in court, the lawyer for the prosecution could not ultimately convict him of the robbery because Peter’s alibi was solid.  Needless to say, being arraigned for something he did not do was unsettling, but Peter was relieved that the legal system had worked in his favor."
Arrogate,To take that role from the one who holds it.,"To arrogate is to “ask or request” for something to be “near” yourself, although the only person you’re “asking” is yourself since you know that the “request” would ultimately be denied; therefore, you don’t “ask” but just take.","apportion, appropriate, conscript, expropriate, pillage, plagiarism, rapacious, sequester, subjugate, usurp","abdicate, abnegation, abstinence, cede, devolve, obsolescent, obviate, unassuming",https://cdn0.membean.com/video/examplevids/arrogate.mp4,," The sneaky manager of the castle property chose to arrogate the authority of the landlord and owner, thereby taking it for himself.  While he had no permission to arrogate such power, much less wield it, the manager continued in his power-hungry manipulations in the owner’s absence.  Such arrogation had a price, for upon the landlord’s return, the staff soon informed him of the manager’s misdeed of trying to assume power.  The landlord calmly and coldly removed all power from the faulty manager who had attempted to arrogate that control which was not his own."
Articulate,The person speaks clearly and is easily understood.,"When one is articulate, one is able to “divide (one’s words) into small joints” (or individual words) instead of running them all together; hence, one is able to speak clearly.","accentuate, didactic, elocution, explicate, fathom, incisive, rhetoric, voluble","ambiguous, demure, esoteric, garbled, guttural, inscrutable, opaque, prattle, reticent, skittish, tremulous",https://cdn0.membean.com/video/examplevids/articulate.mp4,SeinfeldShe thinks that George is articulate.," Since Tessa’s ability to be articulate or speak clearly was well known, she was a frequent and highly sought-after lecturer.  Audiences often commented that Tessa’s articulate , clear, and persuasive presentations opened their minds.  If Tessa had been in articulate or lacked the ability to speak with clarity, it is highly doubtful that she could have obtained such a stellar reputation in her profession."
Artifact,A human-made object from the distant past.,An artifact is an item “made or done” with “skill or craft.”,"antediluvian, antiquated, archaic, curio, erstwhile, obsolescent, opus, primordial, remnant, superannuated, vestige","anachronism, incipient, nascent",https://cdn0.membean.com/video/examplevids/artifact.mp4,YouTube: Top 10 Unsolved Mysterious Ancient ArtifactsThe artifacts of Easter Island.," While on an archeological dig in Arizona, I found a number of Native-American artifacts , including old bowls, pots, and hammers.  I love trying to imagine life by looking at artifacts from the past and puzzling over how a certain item could have been used.  On a recent dig, I helped my professor find artifacts unlike any discovered before—these old objects helped shed new light on an ancient culture."
Artifice,The act of deceiving others through trickery.,"Artifice is “done or made” with “skill or craft”; its meaning has since come to mean “trickery,” which of course takes a great deal of “skill” to pull off successfully.","adroit, canard, chicanery, clandestine, connive, covert, disingenuous, duplicity, feint, finesse, gambit, inconspicuous, latent, machination, sophistry, subterfuge, surreptitious, unobtrusive, wile","abortive, candor, divulge, exude, ingenuous, overt, palpable, patent, probity, propriety, tangible",https://cdn0.membean.com/video/examplevids/artifice.mp4,Fooled HyenaArtifice completely tricks this hyena.," One of the things I love about working with very young children is that they have a complete lack of artifice or trickery: what you see is what you get.  They say what they mean and mean what they say, employing absolutely no artifice or cunning at all.  Often older children, however, will use clever strategies or artifice to get what they want.  My teenage brother, for example, uses artifice by often creating elaborate and untrue stories to go with his requests for help of any kind."
Asperity,He responds with harsh anger.,Asperity is the “state or condition” of “roughness or harshness” of either a person’s character or a climate.,"acrimonious, animus, astringent, captious, carp, cavil, rancor, truculent, virulent, vitriolic","complaisant, congenial, debonair, dulcet, mellifluous, politic",https://cdn0.membean.com/video/examplevids/asperity.mp4,," The asperity with which Susan’s grandfather yelled at her made her cringe because of his very harsh tone.  His bitterness and sharp asperity seemed an unreasonable reaction to her reasonable request for help.  As Susan listened to the irritable judgment and spiteful asperity in his voice, she wondered why he often seemed to be in such a bad temper.  Such critical asperity and roughness of manner often hurt her tender feelings."
Aspersion,An unkind rumor that speaks evilly of another person.,To cast aspersions is to “sprinkle” or “scatter” about verbal abuse “towards” or “at” other people.,"affront, besmirch, calumny, cavil, denigrate, enormity, flout, insinuation, inveigh, niggling, rancor, taint, virulent, vituperative","complaisant, congenial, debonair, dulcet, mellifluous, politic",https://cdn0.membean.com/video/examplevids/aspersion.mp4,," “How dare you cast aspersions upon my good name, sir?” bellowed the angry duke.  Duke Buck had cornered the young squire who had spread foul aspersions and nasty rumors about his previously flawless reputation throughout town.  “I cast no aspersions against you, my lord,” lied the distasteful fellow.  The duke, having not been fooled, countered, “Such abusive language and false aspersions cannot harm my spotless reputation!”"
Aspirate,To draw air in through inhalation or suction.,"To aspirate is the body’s ability to inhale, or move “breath towards or near” the lungs.",extricate,"occlude, stymie",https://cdn0.membean.com/video/examplevids/aspirate.mp4,," In an attempt to aspirate more air through her breathing tube, the invalid sucked as hard as she could.  Her ability to aspirate had been lessened by breathing in secondhand smoke for many years, which had damaged her lungs.  During her illness, aspiration or breathing in enough air had proved a challenge.  As her condition worsened, she focused primarily on her weakened breath, one painful aspiration at a time."
